t_s,vx,vy,speed
347.45,4.646,8.893,10.033
348.31,3.468,8.864,9.518
349.18,2.868,8.245,8.729
350.05,3.056,8.291,8.837
350.91,3.26,7.487,8.166
351.78,3.286,6.49,7.275
352.64,3.067,7.691,8.28
353.51,2.393,6.105,6.557
354.38,0.815,5.749,5.807
355.29,2.087,6.49,6.818
356.21,3.379,7.255,8.003
357.07,2.618,7.993,8.411
357.94,2.402,6.359,6.797
358.8,2.886,7.809,8.325
