strategy,makespan,completed,tasks_done,tasks_total,fuel_violations,min_fuel,total_truck_distance,active_distance,detour_distance,detour_percentage,uptime_ratio,total_swaps,drone_flight_distance,drone_energy,drone_efficiency_percentage,seed,maze,num_trucks,drones_per_station,service_frames,wall_time_s
reactive_drone,16305,True,39,39,0,112,24389.0,23568.0,821.0,3.37,0.7227,8,4611.0,5533.2,433.75,10,maze.csv,2,1,150,0.03
proactive_fuel,16311,True,39,39,0,330,24420.0,23525.0,895.0,3.67,0.7211,11,6876.0,8251.2,399.94,10,maze.csv,2,1,150,0.03
proactive_fuel,16307,True,39,39,0,329,24429.0,23534.0,895.0,3.66,0.7216,11,6114.0,7336.8,449.79,10,maze.csv,2,2,150,0.04
proactive_fuel,16309,True,39,39,0,330,24426.0,23533.0,893.0,3.66,0.7215,11,6108.0,7329.6,450.23,10,maze.csv,2,4,150,0.05
depot_only,7386,True,38,38,0,118,21317.0,17071.0,4246.0,19.92,0.5778,0,0,0.0,0.0,1,maze.csv,4,1,150,0.02
fixed_station_evrp,8065,True,38,38,0,34,20302.0,16286.0,4016.0,19.78,0.5048,4,0,0.0,0.0,1,maze.csv,4,1,150,0.02
reactive_drone,5858,True,38,38,0,121,17351.0,15457.0,1894.0,10.92,0.6597,4,3624.0,4348.8,275.94,1,maze.csv,4,1,150,0.02
proactive_fuel,6030,True,38,38,0,400,17406.0,15426.0,1980.0,11.38,0.6396,5,4410.0,5292.0,283.45,1,maze.csv,4,1,150,0.02
proactive_fuel,6031,True,38,38,0,427,17370.0,15417.0,1953.0,11.24,0.6391,5,3801.0,4561.2,328.86,1,maze.csv,4,2,150,0.02
proactive_fuel,6031,True,38,38,0,428,17362.0,15410.0,1952.0,11.24,0.6388,5,3771.0,4525.2,331.48,1,maze.csv,4,4,150,0.02
depot_only,6609,True,36,36,0,167,19114.0,14339.0,4775.0,24.98,0.5424,0,0,0.0,0.0,2,maze.csv,4,1,150,0.01
fixed_station_evrp,5653,True,36,36,0,313,17201.0,13638.0,3563.0,20.71,0.6031,4,0,0.0,0.0,2,maze.csv,4,1,150,0.01
reactive_drone,5896,True,36,36,0,53,15768.0,13707.0,2061.0,13.07,0.5812,4,2160.0,2592.0,462.96,2,maze.csv,4,1,150,0.01
proactive_fuel,5876,True,36,36,0,627,15803.0,13697.0,2106.0,13.33,0.5828,5,4092.0,4910.4,305.47,2,maze.csv,4,1,150,0.02
proactive_fuel,5872,True,36,36,0,640,15814.0,13709.0,2105.0,13.31,0.5837,5,2751.0,3301.2,454.38,2,maze.csv,4,2,150,0.02
proactive_fuel,5886,True,36,36,0,618,15824.0,13718.0,2106.0,13.31,0.5827,5,2928.0,3513.6,426.91,2,maze.csv,4,4,150,0.02
depot_only,9290,True,40,40,0,225,22609.0,18093.0,4516.0,19.97,0.4869,0,0,0.0,0.0,3,maze.csv,4,1,150,0.02
fixed_station_evrp,8991,True,40,40,0,116,21376.0,17194.0,4182.0,19.56,0.4781,6,0,0.0,0.0,3,maze.csv,4,1,150,0.02
reactive_drone,8037,True,40,40,0,0,18889.0,16745.0,2144.0,11.35,0.5209,4,2412.0,2894.4,414.59,3,maze.csv,4,1,150,0.02
proactive_fuel,8170,True,40,40,0,447,18870.0,16726.0,2144.0,11.36,0.5118,6,2853.0,3423.6,525.76,3,maze.csv,4,1,150,0.02
proactive_fuel,8171,True,40,40,0,448,18870.0,16726.0,2144.0,11.36,0.5117,6,2853.0,3423.6,525.76,3,maze.csv,4,2,150,0.02
proactive_fuel,8168,True,40,40,0,449,18868.0,16724.0,2144.0,11.36,0.5119,6,2844.0,3412.8,527.43,3,maze.csv,4,4,150,0.03
depot_only,10146,True,36,36,0,282,21610.0,17197.0,4413.0,20.42,0.4237,0,0,0.0,0.0,4,maze.csv,4,1,150,0.02
fixed_station_evrp,9598,True,36,36,0,167,20028.0,16459.0,3569.0,17.82,0.4287,5,0,0.0,0.0,4,maze.csv,4,1,150,0.02
reactive_drone,8450,True,36,36,0,284,17930.0,16290.0,1640.0,9.15,0.482,4,2478.0,2973.6,403.55,4,maze.csv,4,1,150,0.02
proactive_fuel,8650,True,36,36,0,344,18027.0,16308.0,1719.0,9.54,0.4713,5,3414.0,4096.8,366.14,4,maze.csv,4,1,150,0.02
proactive_fuel,8647,True,36,36,0,344,18022.0,16305.0,1717.0,9.53,0.4714,5,2622.0,3146.4,476.74,4,maze.csv,4,2,150,0.02
proactive_fuel,8648,True,36,36,0,344,18024.0,16306.0,1718.0,9.53,0.4714,5,2625.0,3150.0,476.19,4,maze.csv,4,4,150,0.03
depot_only,7262,True,40,40,0,68,20795.0,16301.0,4494.0,21.61,0.5612,0,0,0.0,0.0,5,maze.csv,4,1,150,0.02
fixed_station_evrp,6096,True,40,40,0,95,19607.0,15992.0,3615.0,18.44,0.6558,6,0,0.0,0.0,5,maze.csv,4,1,150,0.02
reactive_drone,5395,True,40,40,0,339,17234.0,15341.0,1893.0,10.98,0.7109,4,3630.0,4356.0,275.48,5,maze.csv,4,1,150,0.01
proactive_fuel,5493,True,40,40,0,293,17228.0,15335.0,1893.0,10.99,0.6979,5,2421.0,2905.2,516.32,5,maze.csv,4,1,150,0.02
proactive_fuel,5491,True,40,40,0,295,17226.0,15333.0,1893.0,10.99,0.6981,5,1734.0,2080.8,720.88,5,maze.csv,4,2,150,0.02
proactive_fuel,5494,True,40,40,0,293,17228.0,15335.0,1893.0,10.99,0.6978,5,1734.0,2080.8,720.88,5,maze.csv,4,4,150,0.02
depot_only,7096,True,35,35,0,227,18438.0,14731.0,3707.0,20.11,0.519,0,0,0.0,0.0,6,maze.csv,4,1,150,0.02
fixed_station_evrp,6450,True,35,35,0,29,17754.0,14417.0,3337.0,18.8,0.5588,4,0,0.0,0.0,6,maze.csv,4,1,150,0.02
reactive_drone,5908,True,35,35,1,-2,16050.0,13928.0,2122.0,13.22,0.5894,3,2490.0,2988.0,301.2,6,maze.csv,4,1,150,0.01
proactive_fuel,6076,True,35,35,0,320,16044.0,13922.0,2122.0,13.23,0.5728,4,2763.0,3315.6,361.93,6,maze.csv,4,1,150,0.02
proactive_fuel,6074,True,35,35,0,397,16049.0,13927.0,2122.0,13.22,0.5732,4,1641.0,1969.2,609.38,6,maze.csv,4,2,150,0.02
proactive_fuel,6074,True,35,35,0,397,16048.0,13926.0,2122.0,13.22,0.5732,4,1638.0,1965.6,610.5,6,maze.csv,4,4,150,0.02
depot_only,5024,True,35,35,0,167,16509.0,13487.0,3022.0,18.31,0.6711,0,0,0.0,0.0,7,maze.csv,4,1,150,0.01
fixed_station_evrp,4897,True,35,35,0,111,15499.0,12331.0,3168.0,20.44,0.6295,3,0,0.0,0.0,7,maze.csv,4,1,150,0.01
reactive_drone,4945,True,35,35,0,82,14531.0,12609.0,1922.0,13.23,0.6375,3,1617.0,1940.4,463.82,7,maze.csv,4,1,150,0.01
proactive_fuel,4862,True,35,35,0,285,14532.0,12610.0,1922.0,13.23,0.6484,3,1653.0,1983.6,453.72,7,maze.csv,4,1,150,0.02
proactive_fuel,4862,True,35,35,0,285,14531.0,12609.0,1922.0,13.23,0.6483,3,1656.0,1987.2,452.9,7,maze.csv,4,2,150,0.02
proactive_fuel,4863,True,35,35,0,285,14531.0,12609.0,1922.0,13.23,0.6482,3,1650.0,1980.0,454.55,7,maze.csv,4,4,150,0.02
depot_only,7954,True,36,36,0,181,20369.0,15079.0,5290.0,25.97,0.4739,0,0,0.0,0.0,8,maze.csv,4,1,150,0.02
