num_evs,num_tasks,ev_range,timesteps,num_tasks_finished
6,40,1320,57,6
6,40,1330,57,6
6,40,1340,57,6
6,40,1350,57,6
6,40,1360,57,6
6,40,1370,57,6
6,40,1380,57,6
6,40,1390,57,6
6,40,1400,113,9
6,40,1410,113,9
6,40,1420,113,9
6,40,1430,113,9
6,40,1440,113,9
6,40,1450,123,10
6,40,1460,123,10
6,40,1470,123,10
6,40,1480,123,10
6,40,1490,123,10
6,40,1500,153,11
6,40,1510,153,11
6,40,1520,153,11
6,40,1530,153,11
6,40,1540,153,11
6,40,1550,153,16
6,40,1560,153,16
6,40,1570,153,16
6,40,1580,153,16
6,40,1590,153,16
6,40,1600,81,16
6,40,1610,81,16
6,40,1620,81,16
6,40,1630,81,16
6,40,1640,81,16
6,40,1650,75,19
6,40,1660,75,19
6,40,1670,75,19
6,40,1680,75,19
6,40,1690,75,19
6,40,1700,75,20
6,40,1710,75,20
6,40,1720,75,20
6,40,1730,75,20
6,40,1740,75,20
6,40,1750,75,20
6,40,1760,75,20
6,40,1770,75,20
6,40,1780,75,20
6,40,1790,75,20
6,40,1800,75,20
6,40,1810,75,20
6,40,1820,75,20
6,40,1830,75,20
6,40,1840,75,20
6,40,1850,75,20
6,40,1860,75,20
6,40,1870,75,20
6,40,1880,75,20
6,40,1890,75,20
6,40,1900,75,28
6,40,1910,75,28
6,40,1920,75,28
6,40,1930,75,28
6,40,1940,75,28
6,40,1950,75,28
6,40,1960,75,28
6,40,1970,75,28
6,40,1980,75,28
6,40,1990,75,28
6,40,2000,75,29
6,40,2010,75,29
6,40,2020,75,29
6,40,2030,75,29
6,40,2040,75,29
6,40,2050,75,29
6,40,2060,75,29
6,40,2070,75,29
6,40,2080,75,29
6,40,2090,75,29
6,40,2100,107,30
6,40,2110,107,30
6,40,2120,107,30
6,40,2130,107,30
6,40,2140,107,30
6,40,2150,107,30
6,40,2160,107,30
6,40,2170,107,30
6,40,2180,107,30
6,40,2190,107,30
6,40,2200,83,31
6,40,2210,83,31
6,40,2220,83,31
6,40,2230,83,31
6,40,2240,83,31
6,40,2250,83,31
6,40,2260,83,31
6,40,2270,83,31
6,40,2280,83,31
6,40,2290,83,31
6,40,2300,129,34
6,40,2310,129,34
6,40,2320,129,34
6,40,2330,129,34
6,40,2340,129,34
6,40,2350,129,34
6,40,2360,129,34
6,40,2370,129,34
6,40,2380,129,34
6,40,2390,129,34
6,40,2400,129,34
6,40,2410,129,34
6,40,2420,129,34
6,40,2430,129,34
6,40,2440,129,34
6,40,2450,129,35
6,40,2460,129,35
6,40,2470,129,35
6,40,2480,129,35
6,40,2490,129,35
6,40,2500,129,35
6,40,2510,129,35
6,40,2520,129,35
6,40,2530,129,35
6,40,2540,129,35
6,40,2550,129,35
6,40,2560,129,35
6,40,2570,129,35
6,40,2580,129,35
6,40,2590,129,35
6,40,2600,83,37
6,40,2610,83,37
6,40,2620,83,37
6,40,2630,83,37
6,40,2640,83,37
6,40,2650,83,37
6,40,2660,83,37
6,40,2670,83,37
6,40,2680,83,37
6,40,2690,83,37
6,40,2700,99,38
6,40,2710,99,38
6,40,2720,99,38
6,40,2730,99,38
6,40,2740,99,38
6,40,2750,99,38
6,40,2760,99,38
6,40,2770,99,38
6,40,2780,99,38
6,40,2790,99,38
6,40,2800,99,38
