t_s,vx,vy,speed
285.51,0.768,2.968,3.066
286.37,-0.247,3.297,3.306
287.24,-0.339,4.573,4.586
288.2,0.822,4.819,4.889
289.17,1.155,4.468,4.615
290.04,1.316,4.305,4.502
290.9,-0.235,4.633,4.639
291.77,1.305,4.663,4.842
292.63,3.241,5.35,6.255
293.5,2.768,3.883,4.769
294.37,2.866,3.83,4.784
295.23,4.208,4.19,5.938
296.2,6.029,4.192,7.343
297.17,5.402,2.827,6.097
298.03,5.504,4.445,7.075
298.9,5.278,4.835,7.158
299.76,4.398,4.971,6.637
300.68,4.842,5.713,7.489
301.55,5.546,4.991,7.461
302.41,4.087,5.373,6.751
303.28,3.637,5.189,6.337
304.19,4.518,4.577,6.431
305.06,4.707,3.683,5.977
305.92,4.971,2.906,5.759
306.79,5.009,3.621,6.18
307.66,6.038,3.245,6.854
308.52,6.702,3.618,7.616
309.39,6.494,4.055,7.656
310.26,6.387,4.356,7.731
311.17,5.816,3.924,7.016
312.04,4.713,3.166,5.678
312.91,4.367,2.245,4.91
313.77,3.961,4.235,5.798
314.64,3.392,5.025,6.063
315.5,2.748,4.153,4.98
316.37,5.04,3.561,6.171
317.23,6.847,2.738,7.374
318.2,5.679,2.383,6.159
319.06,5.359,1.971,5.71
319.93,5.22,2.465,5.773
320.8,5.164,2.71,5.831
321.66,4.794,2.457,5.387
322.53,5.047,1.32,5.217
323.39,5.851,1.448,6.027
324.26,6.556,1.261,6.676
325.17,6.103,1.911,6.395
326.04,7.097,1.075,7.177
326.9,6.375,2.277,6.769
327.77,6.063,2.666,6.623
328.63,6.706,3.06,7.371
329.5,6.733,4.233,7.954
330.37,6.713,4.789,8.246
331.23,5.785,3.445,6.733
332.2,4.955,5.164,7.157
333.06,4.859,5.893,7.638
333.93,4.735,5.465,7.231
334.79,5.003,5.204,7.219
335.66,3.534,5.457,6.501
336.52,5.16,5.814,7.773
337.39,6.053,5.525,8.196
338.26,6.144,5.646,8.344
339.22,7.193,6.391,9.622
340.19,5.178,7.208,8.875
341.05,4.75,7.042,8.495
341.92,3.355,7.427,8.15
342.78,3.565,6.886,7.754
343.65,4.072,7.562,8.589
344.51,5.345,8.535,10.07
345.38,5.954,7.791,9.806
346.24,4.735,7.891,9.203
347.21,4.439,8.615,9.691
348.13,4.646,8.893,10.033
348.99,3.468,8.864,9.518
349.86,2.868,8.245,8.729
350.77,3.056,8.291,8.837
351.69,3.26,7.487,8.166
352.6,3.286,6.49,7.275
353.47,3.067,7.691,8.28
354.33,2.393,6.105,6.557
355.2,0.815,5.749,5.807
356.06,2.087,6.49,6.818
356.93,3.379,7.255,8.003
357.8,2.618,7.993,8.411
358.71,2.402,6.359,6.797
359.58,2.886,7.809,8.325
