strategy,makespan,completed,tasks_done,tasks_total,fuel_violations,strand_events,stranded_frames,min_fuel,total_truck_distance,active_distance,detour_distance,detour_percentage,uptime_ratio,hold_frames,total_swaps,drone_flight_distance,drone_energy,drone_efficiency_percentage,max_route_length,truck_range,num_tasks,seed,maze,num_trucks,drones_per_station,service_frames,wall_time_s
reactive_drone,2770,True,39,39,1,1,179,0.0,12675.0,10210.0,2465.0,19.45,0.6143,874,5,3924.0,4708.8,318.55,2285.71,2000.0,39,10,maze.csv,6,1,150,0.01
proactive_fuel,2437,True,38,38,0,0,0,188.0,11819.0,9527.0,2292.0,19.39,0.6516,733,5,2064.0,2476.8,605.62,2228.57,2000.0,38,1,maze.csv,6,1,150,0.06
proactive_fuel,2263,True,36,36,0,0,0,72.0,11820.0,8740.0,3080.0,26.06,0.6437,436,3,2271.0,2725.2,330.25,2057.14,2000.0,36,2,maze.csv,6,1,150,0.02
proactive_fuel,2251,True,40,40,0,0,0,76.0,11377.0,9426.0,1951.0,17.15,0.6979,424,3,891.0,1069.2,841.75,2057.14,2000.0,40,3,maze.csv,6,1,150,0.02
proactive_fuel,2375,True,36,36,0,0,0,159.0,12272.0,9764.0,2508.0,20.44,0.6852,716,5,2955.0,3546.0,423.01,2171.43,2000.0,36,4,maze.csv,6,1,150,0.02
proactive_fuel,2375,True,40,40,0,0,0,73.0,12270.0,10147.0,2123.0,17.3,0.7121,726,5,2028.0,2433.6,616.37,2171.43,2000.0,40,5,maze.csv,6,1,150,0.02
proactive_fuel,2319,True,35,35,0,0,0,105.0,11035.0,8996.0,2039.0,18.48,0.6465,288,2,297.0,356.4,1683.5,2114.29,2000.0,35,6,maze.csv,6,1,150,0.02
proactive_fuel,2256,True,35,35,0,0,0,83.0,11712.0,8939.0,2773.0,23.68,0.6604,426,3,2061.0,2473.2,363.9,2057.14,2000.0,35,7,maze.csv,6,1,150,0.02
proactive_fuel,2317,True,36,36,0,0,0,135.0,11366.0,9023.0,2343.0,20.61,0.649,427,3,1446.0,1735.2,518.67,2114.29,2000.0,36,8,maze.csv,6,1,150,0.02
proactive_fuel,2755,True,40,40,0,0,0,277.0,12389.0,9615.0,2774.0,22.39,0.5817,1109,5,4773.0,5727.6,261.89,2171.43,2000.0,40,9,maze.csv,6,1,150,0.02
proactive_fuel,2495,True,39,39,0,0,0,135.0,12679.0,10214.0,2465.0,19.44,0.6823,736,5,3012.0,3614.4,415.01,2285.71,2000.0,39,10,maze.csv,6,1,150,0.02
fixed_station_evrp,3517,True,38,38,1,1,1000,0.0,14075.0,10485.0,3590.0,25.51,0.4969,2200,3,0,0.0,0.0,2228.57,2000.0,38,1,maze.csv,6,1,600,0.02
fixed_station_evrp,2934,True,36,36,1,1,657,0.0,12610.0,9021.0,3589.0,28.46,0.5124,657,1,0,0.0,0.0,2057.14,2000.0,36,2,maze.csv,6,1,600,0.02
fixed_station_evrp,3045,True,40,40,0,0,0,20.0,12563.0,9906.0,2657.0,21.15,0.5422,0,0,0,0.0,0.0,2057.14,2000.0,40,3,maze.csv,6,1,600,0.02
fixed_station_evrp,3097,True,36,36,0,0,0,138.0,14413.0,10071.0,4342.0,30.13,0.542,1200,2,0,0.0,0.0,2171.43,2000.0,36,4,maze.csv,6,1,600,0.02
fixed_station_evrp,3712,True,40,40,1,1,657,0.0,15543.0,11282.0,4261.0,27.41,0.5066,1257,2,0,0.0,0.0,2171.43,2000.0,40,5,maze.csv,6,1,600,0.02
fixed_station_evrp,2885,True,35,35,0,0,0,127.0,11147.0,8571.0,2576.0,23.11,0.4951,1200,2,0,0.0,0.0,2114.29,2000.0,35,6,maze.csv,6,1,600,0.02
fixed_station_evrp,3176,True,35,35,0,0,0,14.0,12896.0,9274.0,3622.0,28.09,0.4867,600,1,0,0.0,0.0,2057.14,2000.0,35,7,maze.csv,6,1,600,0.02
fixed_station_evrp,3172,True,36,36,0,0,0,129.0,12667.0,9529.0,3138.0,24.77,0.5007,1200,2,0,0.0,0.0,2114.29,2000.0,36,8,maze.csv,6,1,600,0.02
fixed_station_evrp,3879,True,40,40,1,1,885,0.0,14138.0,9782.0,4356.0,30.81,0.4203,2685,4,0,0.0,0.0,2171.43,2000.0,40,9,maze.csv,6,1,600,0.02
fixed_station_evrp,4648,True,39,39,1,1,885,0.0,16861.0,11592.0,5269.0,31.25,0.4157,2085,3,0,0.0,0.0,2285.71,2000.0,39,10,maze.csv,6,1,600,0.03
reactive_drone,3082,True,38,38,3,3,2189,0.0,11803.0,9520.0,2283.0,19.34,0.5148,2815,4,2952.0,3542.4,338.75,2228.57,2000.0,38,1,maze.csv,6,1,600,0.01
reactive_drone,2894,True,36,36,1,1,710,0.0,11820.0,8740.0,3080.0,26.06,0.5033,1334,2,1182.0,1418.4,423.01,2057.14,2000.0,36,2,maze.csv,6,1,600,0.01
reactive_drone,2732,True,40,40,0,0,0,20.0,11374.0,9423.0,1951.0,17.15,0.5749,1247,2,567.0,680.4,881.83,2057.14,2000.0,40,3,maze.csv,6,1,600,0.01
reactive_drone,3018,True,36,36,3,3,2297,0.0,12257.0,9762.0,2495.0,20.36,0.5391,2923,4,3279.0,3934.8,304.97,2171.43,2000.0,36,4,maze.csv,6,1,600,0.01
reactive_drone,3115,True,40,40,3,3,2408,0.0,12254.0,10144.0,2110.0,17.22,0.5428,3658,5,3684.0,4420.8,339.31,2171.43,2000.0,40,5,maze.csv,6,1,600,0.01
