t_s,vx,vy,speed
250.21,2.649,5.281,5.908
251.18,3.015,4.487,5.406
252.14,1.863,3.975,4.39
253.01,2.376,3.069,3.881
253.87,1.333,4.094,4.306
254.79,1.01,4.39,4.504
255.66,-0.681,4.982,5.028
256.52,0.434,5.686,5.702
257.39,0.147,4.761,4.763
258.25,0.572,4.761,4.795
259.17,0.548,3.53,3.572
260.14,1.669,3.638,4.003
261.0,2.074,2.448,3.208
261.87,1.79,2.481,3.06
262.73,1.762,1.685,2.438
263.6,1.351,0.581,1.47
264.46,1.807,2.453,3.047
265.38,1.568,5.159,5.392
266.25,3.181,6.345,7.097
267.16,3.954,6.308,7.445
268.03,2.818,5.909,6.546
268.89,2.63,5.994,6.546
269.76,2.78,6.549,7.114
270.62,2.99,4.362,5.288
271.49,2.917,4.214,5.125
272.35,3.25,3.48,4.762
273.22,2.761,4.485,5.267
274.19,2.921,6.471,7.1
275.15,3.532,7.041,7.877
276.02,3.335,7.811,8.493
276.88,2.303,6.891,7.265
277.75,1.595,6.446,6.64
278.62,1.257,5.545,5.686
279.48,1.836,3.864,4.278
280.35,1.851,4.734,5.083
281.21,1.729,4.307,4.641
282.18,1.694,3.472,3.863
283.15,1.537,3.283,3.625
284.01,1.396,2.651,2.996
284.93,0.768,2.968,3.066
285.79,-0.247,3.297,3.306
286.66,-0.339,4.573,4.586
287.52,0.822,4.819,4.889
288.39,1.155,4.468,4.615
289.25,1.316,4.305,4.502
290.17,-0.235,4.633,4.639
291.03,1.305,4.663,4.842
291.9,3.241,5.35,6.255
292.77,2.768,3.883,4.769
293.63,2.866,3.83,4.784
294.5,4.208,4.19,5.938
295.36,6.029,4.192,7.343
296.23,5.402,2.827,6.097
297.19,5.504,4.445,7.075
298.16,5.278,4.835,7.158
299.03,4.398,4.971,6.637
299.94,4.842,5.713,7.489
300.81,5.546,4.991,7.461
301.67,4.087,5.373,6.751
302.54,3.637,5.189,6.337
303.41,4.518,4.577,6.431
304.27,4.707,3.683,5.977
305.19,4.971,2.906,5.759
306.15,5.009,3.621,6.18
307.07,6.038,3.245,6.854
307.93,6.702,3.618,7.616
308.8,6.494,4.055,7.656
309.66,6.387,4.356,7.731
310.53,5.816,3.924,7.016
311.44,4.713,3.166,5.678
312.36,4.367,2.245,4.91
313.22,3.961,4.235,5.798
314.19,3.392,5.025,6.063
315.16,2.748,4.153,4.98
316.02,5.04,3.561,6.171
316.94,6.847,2.738,7.374
317.8,5.679,2.383,6.159
318.67,5.359,1.971,5.71
319.53,5.22,2.465,5.773
320.4,5.164,2.71,5.831
321.32,4.794,2.457,5.387
322.18,5.047,1.32,5.217
323.05,5.851,1.448,6.027
323.91,6.556,1.261,6.676
324.78,6.103,1.911,6.395
325.65,7.097,1.075,7.177
326.51,6.375,2.277,6.769
327.38,6.063,2.666,6.623
328.29,6.706,3.06,7.371
329.16,6.733,4.233,7.954
330.07,6.713,4.789,8.246
330.94,5.785,3.445,6.733
331.86,4.955,5.164,7.157
332.77,4.859,5.893,7.638
333.69,4.735,5.465,7.231
334.55,5.003,5.204,7.219
335.42,3.534,5.457,6.501
336.28,5.16,5.814,7.773
337.2,6.053,5.525,8.196
338.16,6.144,5.646,8.344
339.03,7.193,6.391,9.622
339.94,5.178,7.208,8.875
340.81,4.75,7.042,8.495
341.67,3.355,7.427,8.15
342.54,3.565,6.886,7.754
343.41,4.072,7.562,8.589
344.27,5.345,8.535,10.07
345.19,5.954,7.791,9.806
346.05,4.735,7.891,9.203
346.92,4.439,8.615,9.691
347.78,4.646,8.893,10.033
348.65,3.468,8.864,9.518
349.51,2.868,8.245,8.729
350.38,3.056,8.291,8.837
351.25,3.26,7.487,8.166
352.21,3.286,6.49,7.275
353.18,3.067,7.691,8.28
354.04,2.393,6.105,6.557
354.91,0.815,5.749,5.807
355.82,2.087,6.49,6.818
356.69,3.379,7.255,8.003
357.56,2.618,7.993,8.411
358.42,2.402,6.359,6.797
359.29,2.886,7.809,8.325
