Episode 173/1000  Total Reward: 212.00  Epsilon: 0.0840
Episode 174/1000  Total Reward: 208.00  Epsilon: 0.0836
Episode 175/1000  Total Reward: 126.00  Epsilon: 0.0832
Episode 176/1000  Total Reward: 250.00  Epsilon: 0.0828
Episode 177/1000  Total Reward: 284.00  Epsilon: 0.0824
Episode 178/1000  Total Reward: 202.00  Epsilon: 0.0819
Episode 179/1000  Total Reward: 214.00  Epsilon: 0.0815
Episode 180/1000  Total Reward: 212.00  Epsilon: 0.0811
Episode 181/1000  Total Reward: 216.00  Epsilon: 0.0807
Episode 182/1000  Total Reward: 16.00  Epsilon: 0.0803
Episode 183/1000  Total Reward: 212.00  Epsilon: 0.0799
Episode 184/1000  Total Reward: 256.00  Epsilon: 0.0795
Episode 185/1000  Total Reward: 250.00  Epsilon: 0.0791
Episode 186/1000  Total Reward: 288.00  Epsilon: 0.0787
Episode 187/1000  Total Reward: 256.00  Epsilon: 0.0783
Episode 188/1000  Total Reward: 122.00  Epsilon: 0.0779
Episode 189/1000  Total Reward: 216.00  Epsilon: 0.0776
Episode 190/1000  Total Reward: 254.00  Epsilon: 0.0772
Episode 191/1000  Total Reward: 240.00  Epsilon: 0.0768
Episode 192/1000  Total Reward: 216.00  Epsilon: 0.0764
Episode 193/1000  Total Reward: 252.00  Epsilon: 0.0760
Episode 194/1000  Total Reward: 282.00  Epsilon: 0.0756
Episode 195/1000  Total Reward: 208.00  Epsilon: 0.0753
Episode 196/1000  Total Reward: 246.00  Epsilon: 0.0749
Episode 197/1000  Total Reward: 254.00  Epsilon: 0.0745
Episode 198/1000  Total Reward: 284.00  Epsilon: 0.0741
Episode 199/1000  Total Reward: 254.00  Epsilon: 0.0738
Episode 200/1000  Total Reward: 258.00  Epsilon: 0.0734
Episode 201/1000  Total Reward: 288.00  Epsilon: 0.0730
Episode 202/1000  Total Reward: 286.00  Epsilon: 0.0727
Episode 203/1000  Total Reward: 294.00  Epsilon: 0.0723
Episode 204/1000  Total Reward: 206.00  Epsilon: 0.0719
Episode 205/1000  Total Reward: 92.00  Epsilon: 0.0716
Episode 206/1000  Total Reward: 252.00  Epsilon: 0.0712
Episode 207/1000  Total Reward: 288.00  Epsilon: 0.0709
Episode 208/1000  Total Reward: 286.00  Epsilon: 0.0705
Episode 209/1000  Total Reward: 248.00  Epsilon: 0.0702
Episode 210/1000  Total Reward: 254.00  Epsilon: 0.0698
Episode 211/1000  Total Reward: 290.00  Epsilon: 0.0695
Episode 212/1000  Total Reward: 290.00  Epsilon: 0.0691
Episode 213/1000  Total Reward: 292.00  Epsilon: 0.0688
Episode 214/1000  Total Reward: 216.00  Epsilon: 0.0684
Episode 215/1000  Total Reward: 212.00  Epsilon: 0.0681
Episode 216/1000  Total Reward: 166.00  Epsilon: 0.0677
Episode 217/1000  Total Reward: 246.00  Epsilon: 0.0674
Episode 218/1000  Total Reward: 254.00  Epsilon: 0.0671
Episode 219/1000  Total Reward: 248.00  Epsilon: 0.0667
Episode 220/1000  Total Reward: 292.00  Epsilon: 0.0664
Episode 221/1000  Total Reward: 254.00  Epsilon: 0.0661
Episode 222/1000  Total Reward: 254.00  Epsilon: 0.0657
Episode 223/1000  Total Reward: 210.00  Epsilon: 0.0654
Episode 224/1000  Total Reward: 168.00  Epsilon: 0.0651
