t_s,vx,vy,speed
212.63,9.664,2.852,10.076
213.5,7.785,3.98,8.743
214.36,10.425,2.754,10.782
215.23,9.489,3.425,10.089
216.14,9.502,1.559,9.63
217.01,10.621,2.32,10.872
217.87,10.066,2.418,10.353
218.74,12.698,1.145,12.75
219.61,11.972,1.132,12.025
220.47,12.555,2.197,12.746
221.34,13.156,2.841,13.459
222.2,16.1,3.421,16.46
223.17,15.342,3.249,15.683
224.03,15.163,2.992,15.455
224.9,14.846,5.257,15.749
225.76,14.634,5.107,15.5
226.63,15.094,5.291,15.994
227.49,16.027,5.68,17.004
228.36,15.608,5.081,16.414
229.22,15.621,6.009,16.737
230.19,15.381,5.865,16.461
231.16,15.724,5.649,16.708
232.02,13.687,5.907,14.907
232.89,16.074,4.651,16.734
233.75,14.541,4.178,15.129
234.62,14.347,4.369,14.997
235.48,12.865,4.188,13.529
236.35,14.807,2.464,15.01
237.26,14.354,1.752,14.461
238.18,13.656,4.461,14.366
239.05,12.57,6.005,13.931
239.91,12.634,6.245,14.093
240.78,12.543,6.327,14.048
241.64,13.18,6.953,14.902
242.51,10.405,6.202,12.113
243.37,10.881,7.314,13.111
244.24,10.062,6.791,12.139
245.15,8.48,7.186,11.116
246.02,8.708,6.958,11.147
246.89,7.303,7.656,10.58
247.75,7.048,6.358,9.492
248.62,7.298,7.43,10.415
249.49,3.973,7.921,8.862
250.35,4.523,6.731,8.109
251.22,2.794,5.962,6.584
252.19,3.564,4.603,5.822
253.05,2.0,6.141,6.458
253.92,1.515,6.584,6.757
254.78,-1.021,7.472,7.542
255.65,0.651,8.529,8.553
256.57,0.22,7.141,7.144
257.43,0.858,7.141,7.193
258.3,0.821,5.295,5.359
259.16,2.504,5.457,6.004
260.03,3.111,3.672,4.812
260.89,2.685,3.722,4.59
261.76,2.642,2.528,3.657
262.62,2.026,0.871,2.205
263.54,2.711,3.68,4.571
264.45,2.351,7.738,8.088
265.37,4.771,9.517,10.646
266.29,5.93,9.462,11.167
267.2,4.226,8.863,9.819
268.17,3.945,8.991,9.818
269.08,4.169,9.823,10.671
269.95,4.485,6.543,7.933
270.81,4.375,6.322,7.688
271.68,4.875,5.22,7.142
272.55,4.141,6.727,7.9
273.41,4.381,9.706,10.649
274.28,5.297,10.561,11.815
275.19,5.003,11.716,12.74
276.06,3.455,10.336,10.898
276.92,2.392,9.669,9.96
277.84,1.885,8.318,8.529
278.71,2.755,5.796,6.418
279.57,2.776,7.102,7.625
280.44,2.594,6.46,6.961
281.3,2.541,5.208,5.795
282.22,2.305,4.925,5.438
283.18,2.095,3.976,4.494
284.05,1.153,4.453,4.599
284.91,-0.371,4.945,4.959
285.78,-0.508,6.86,6.879
286.64,1.233,7.229,7.333
287.51,1.733,6.703,6.923
288.37,1.975,6.458,6.753
289.24,-0.352,6.949,6.958
290.21,1.958,6.995,7.263
291.17,4.862,8.025,9.383
292.04,4.152,5.825,7.153
292.95,4.299,5.746,7.176
293.87,6.312,6.286,8.908
294.78,9.043,6.288,11.015
295.7,8.103,4.241,9.146
296.56,8.256,6.668,10.613
297.43,7.917,7.253,10.737
298.35,6.597,7.456,9.956
299.21,7.264,8.57,11.234
300.08,8.319,7.486,11.191
300.95,6.13,8.059,10.126
301.81,5.456,7.783,9.505
302.68,6.776,6.865,9.646
303.54,7.061,5.524,8.965
304.41,7.457,4.359,8.638
305.28,7.513,5.431,9.27
306.19,9.056,4.868,10.282
307.11,10.053,5.427,11.424
307.97,9.74,6.082,11.483
308.84,9.581,6.534,11.597
309.71,8.724,5.886,10.523
310.62,7.07,4.749,8.517
311.49,6.55,3.367,7.365
312.35,5.942,6.352,8.698
313.22,5.088,7.538,9.094
314.18,4.123,6.229,7.47
315.05,7.561,5.341,9.257
315.91,10.27,4.107,11.061
316.78,8.519,3.574,9.238
317.64,8.038,2.957,8.565
318.51,7.83,3.697,8.659
319.37,7.745,4.065,8.747
320.24,7.191,3.685,8.08
321.21,7.571,1.98,7.826
322.07,8.776,2.171,9.041
322.94,9.834,1.891,10.014
323.8,9.154,2.866,9.593
324.72,10.645,1.612,10.766
325.58,9.562,3.415,10.154
326.5,9.095,3.999,9.935
327.41,10.059,4.589,11.056
328.28,10.1,6.35,11.931
329.19,10.07,7.184,12.37
330.06,8.677,5.167,10.099
330.92,7.432,7.746,10.735
331.79,7.289,8.839,11.457
332.66,7.102,8.198,10.847
333.52,7.504,7.806,10.828
334.39,5.3,8.185,9.751
335.31,7.74,8.72,11.66
336.22,9.08,8.288,12.294
337.09,9.216,8.469,12.517
337.95,10.79,9.587,14.434
338.87,7.766,10.813,13.313
339.74,7.125,10.564,12.742
340.6,5.033,11.141,12.225
341.47,5.347,10.329,11.631
342.34,6.109,11.343,12.883
343.2,8.017,12.802,15.105
344.07,8.931,11.687,14.709
344.94,7.103,11.836,13.804
345.8,6.659,12.922,14.537
346.67,6.969,13.339,15.05
347.53,5.202,13.296,14.277
348.4,4.301,12.367,13.094
349.26,4.585,12.437,13.255
350.23,4.89,11.231,12.25
351.09,4.929,9.735,10.912
351.96,4.601,11.537,12.42
352.83,3.589,9.158,9.836
353.69,1.223,8.624,8.71
354.56,3.13,9.736,10.226
355.42,5.069,10.882,12.005
356.29,3.927,11.989,12.616
357.2,3.603,9.538,10.195
358.07,4.329,11.713,12.488
358.93,4.633,12.797,13.609
