t_s,vx,vy,speed
340.22,2.121,2.121,3.0
341.19,2.121,2.121,3.0
342.06,2.121,2.121,3.0
342.92,2.121,2.121,3.0
343.79,2.121,2.121,3.0
344.65,2.121,2.121,3.0
345.52,2.121,2.121,3.0
346.38,2.121,2.121,3.0
347.25,2.121,2.121,3.0
348.22,2.121,2.121,3.0
349.18,2.121,2.121,3.0
350.05,2.121,2.121,3.0
350.91,2.121,2.121,3.0
351.78,2.121,2.121,3.0
352.69,2.121,2.121,3.0
353.56,2.121,2.121,3.0
354.42,2.121,2.121,3.0
355.29,2.121,2.121,3.0
356.21,2.121,2.121,3.0
357.12,2.121,2.121,3.0
357.99,2.121,2.121,3.0
358.85,2.121,2.121,3.0
